date,avg_temp,min_temp,max_temp,precipitation
"August, 1978",75.5,67.9,83.1,5.94
"July, 1978",74,65.6,82.4,4.1
"June, 1978",70.3,60.4,80.3,2.17
"May, 1978",59.5,50.7,68.3,7.61
"April, 1978",49.8,40.4,59.2,2.1
"March, 1978",38,30.3,45.8,3.64
"February, 1978",25.7,19,32.4,1.57
"January, 1978",27.2,20.6,33.9,7.96
"December, 1977",34,27.7,40.4,5.06
"November, 1977",46.3,40.8,51.8,9.09
"October, 1977",54.1,46.4,61.8,4.92
"September, 1977",67.2,59.6,74.7,5.79
"August, 1977",74.7,66.3,83,4.07
"July, 1977",77.3,67.8,86.9,1.91
"June, 1977",69,60.2,77.7,4.37
"May, 1977",64,53,74.9,1.88
"April, 1977",52.2,41.8,62.7,3.81
"March, 1977",45.4,36.7,54.1,7.05
"February, 1977",32.4,24.9,39.9,2.76
"January, 1977",21.3,14.6,28.1,2.05
"December, 1976",29.4,21.8,36.9,2.24
"November, 1976",40.4,33.2,47.6,0.38
"October, 1976",52.3,44.8,59.7,5.43
"September, 1976",66.1,57.1,75.1,3.05
"August, 1976",73.9,65.1,82.8,5.67
"July, 1976",74.5,65.7,83.3,2.8
"June, 1976",73,63.9,82,3.48
"May, 1976",60.3,50.8,69.8,4.23
"April, 1976",54.3,44.4,64.2,3
"March, 1976",43.5,35,52.1,2.5
"February, 1976",39,29.5,48.4,2.92
"January, 1976",27,19.6,34.4,5.3
"December, 1975",35.6,28.8,42.4,3.34
"November, 1975",50.9,43.5,58.3,3.97
"October, 1975",58.4,49.9,66.8,4.04
"September, 1975",63.5,55.9,71.1,9.67
"August, 1975",74,65.7,82.3,3.83
"July, 1975",75.8,67.7,83.8,9.66
"June, 1975",70,61.9,78.1,6.46
"May, 1975",64.4,55,73.9,4
"April, 1975",46.7,37.8,55.6,2.97
"March, 1975",39.3,31.7,47,3.8
"February, 1975",34.7,28.2,41.2,3.41
"January, 1975",36.3,29.6,43,5.01
"December, 1974",38.4,32.9,44,5.55
"November, 1974",46.5,38.8,54.3,1.48
"October, 1974",52.8,43.8,61.9,2.07
"September, 1974",65.7,57.4,74.1,7.86
"August, 1974",75.2,66.4,84.2,5.3
"July, 1974",76.2,67,85.5,1.67
"June, 1974",68.3,60.1,76.6,3.45
"May, 1974",59.6,51.1,68.2,4.03
"April, 1974",53.7,43.7,63.7,3.52
