date,avg_temp,min_temp,max_temp,precipitation
"June, 1991",72.6,62.5,82.7,2.65
"May, 1991",66.6,56.4,76.9,3.59
"April, 1991",53.3,44.4,62.2,3.85
"March, 1991",43.4,35.6,51.2,4.31
"February, 1991",38.7,30.4,47,1.83
"January, 1991",34,26.7,41.3,3.64
"December, 1990",41.5,33.8,49.1,5.1
"November, 1990",48.6,39.7,57.5,2.33
"October, 1990",60.6,52.1,69.1,6.08
"September, 1990",66.4,58,74.9,2.15
"August, 1990",74.7,66.7,82.6,8.58
"July, 1990",75.4,67.4,83.6,3.92
"June, 1990",70.1,61.2,79,2.5
"May, 1990",58.3,50,66.6,8
"April, 1990",50.7,42.1,59.2,4.73
"March, 1990",42.8,33.9,51.6,2.96
"February, 1990",38.6,29.7,47.5,1.73
"January, 1990",39.6,33,46.3,4.57
"December, 1989",25.2,17.9,32.6,0.73
"November, 1989",44.7,37,52.4,2.92
"October, 1989",57.2,47.7,66.6,6.81
"September, 1989",67.6,59.1,76,5.48
"August, 1989",73.7,65.7,81.6,5.68
"July, 1989",74.3,66,82.6,5.44
"June, 1989",71.4,63.2,79.6,7.15
"May, 1989",60.4,51.9,68.7,10.63
"April, 1989",49.9,40.8,58.9,3.71
"March, 1989",40.5,32,48.9,4.51
"February, 1989",33.4,26.6,40.2,2.94
"January, 1989",36.2,29,43.4,2.15
"December, 1988",35.3,27.9,42.6,1.23
"November, 1988",47.8,40,55.7,7.81
"October, 1988",51.6,43.6,59.5,3.31
"September, 1988",66.2,57.2,75.2,2.98
"August, 1988",77,68.8,85,2.3
"July, 1988",76.9,68,85.8,7.27
"June, 1988",70.4,60.3,80.4,1.18
"May, 1988",60.6,51.9,69.1,5.11
"April, 1988",49.3,41.2,57.5,2.09
"March, 1988",42,33.1,50.8,2.29
"February, 1988",33.9,26.4,41.3,4.02
"January, 1988",28.3,21.2,35.5,3.07
"December, 1987",38.6,32.2,45,2.35
"November, 1987",46.8,38.5,55.1,2.98
"October, 1987",52.8,43.4,62.3,3.81
"September, 1987",66.5,59,74.1,4.12
"August, 1987",72.8,64.3,81.2,4.49
"July, 1987",76.4,68,84.7,4.27
"June, 1987",71.3,62.4,80.2,4.07
"May, 1987",61,51.4,70.7,1.69
"April, 1987",51.3,43,59.5,5.46
"March, 1987",43.2,34.2,52.2,3.98
"February, 1987",32,23.8,40.3,1
"January, 1987",31.4,25.6,37.2,5.79
"December, 1986",38.1,31.9,44.3,6.04
"November, 1986",44.2,36.1,52.3,6.81
"October, 1986",56.1,47.3,64.9,1.83
"September, 1986",65.9,57.5,74.2,1.93
"August, 1986",71.9,64,79.7,4.59
"July, 1986",74.7,66.6,82.8,4.67
"June, 1986",70.1,60.3,79.8,2.05
"May, 1986",63.7,53.6,73.8,1.31
"April, 1986",51.6,43,60.3,4.37
"March, 1986",42.6,32.9,52.2,2.05
"February, 1986",30.9,25.1,36.7,3.35
"January, 1986",32.7,25,40.5,4.12
"December, 1985",33.3,26.5,40,1.02
"November, 1985",49.1,42.5,55.8,7.34
"October, 1985",57.7,48.8,66.6,1.29
"September, 1985",68.6,59.6,77.5,4.35
"August, 1985",73.7,65.9,81.6,3.23
"July, 1985",74.8,66.2,83.3,3.98
"June, 1985",67.4,59,75.8,4.59
"May, 1985",63,53.4,72.6,5.19
"April, 1985",52.9,43.3,62.4,1.32
"March, 1985",44,34.2,53.8,1.95
"February, 1985",34.3,26.8,41.9,2.15
"January, 1985",27.5,20.4,34.6,1.11
"December, 1984",42.4,35,49.9,3.09
"November, 1984",45.6,36.9,54.3,3.1
"October, 1984",60.4,52.3,68.5,2.97
"September, 1984",64.6,55.4,73.8,2.23
"August, 1984",75.7,67.9,83.5,1.58
"July, 1984",73.4,65.6,81.2,7.69
"June, 1984",72.8,63.6,81.9,5.42
"May, 1984",59.8,51.3,68.2,9.7
"April, 1984",49.4,41,57.7,6.1
"March, 1984",34.9,27.5,42.2,6.09
"February, 1984",38.7,31.3,46.1,4.56
"January, 1984",28.2,21.6,34.7,1.81
"December, 1983",34.3,27.2,41.4,8.12
"November, 1983",47.4,39.4,55.4,5.61
"October, 1983",56.4,48.3,64.4,6.72
"September, 1983",69.5,59.5,79.5,3.27
"August, 1983",75.5,66.5,84.5,3.92
"July, 1983",77.4,67.6,87.3,3.18
"June, 1983",71.1,61.4,80.8,2.53
"May, 1983",57.6,49.2,66,4.21
"April, 1983",50.2,42,58.3,11.01
"March, 1983",42.8,35.7,49.9,8.88
"February, 1983",34.6,27.2,42.1,3.12
"January, 1983",33.6,27.1,40.1,4.48
"December, 1982",41.4,34.5,48.4,1.57
"November, 1982",48.4,40.2,56.6,3.27
"October, 1982",56.1,47.3,64.9,1.6
"September, 1982",66,57.9,74.1,1.82
"August, 1982",71.6,62.9,80.2,2.57
"July, 1982",75.5,66.6,84.3,3.05
"June, 1982",66.2,58.2,74.2,5.44
"May, 1982",61.7,52.7,70.7,2.78
"April, 1982",48.4,38.4,58.4,5.29
"March, 1982",40.1,32.4,47.8,2.6
"February, 1982",34.1,27.2,41,2.46
"January, 1982",24.8,17.2,32.4,5.39
"December, 1981",35,29.3,40.8,4.72
"November, 1981",45.3,38.1,52.5,1.81
"October, 1981",52.5,44,61,3.78
"September, 1981",65.5,57.3,73.7,3.63
"August, 1981",73.9,65.3,82.5,0.95
"July, 1981",76.8,68.1,85.4,5.16
"June, 1981",71,62.2,79.8,3.13
"May, 1981",62.3,52.7,71.9,3.42
"April, 1981",53.1,43.6,62.6,3.36
"March, 1981",40,32,48,1.2
"February, 1981",37.1,28.8,45.3,5.75
"January, 1981",24.8,17.6,32.1,0.59
"December, 1980",30.8,22.6,38.9,0.74
"November, 1980",42.6,35,50.2,4.17
"October, 1980",54.3,46.2,62.4,3.31
"September, 1980",69.6,60.7,78.5,1.41
"August, 1980",77.8,69.1,86.4,1.26
"July, 1980",77.5,68.3,86.8,3.97
"June, 1980",69,59.3,78.6,3.31
"May, 1980",63.1,53.2,73.1,2.7
"April, 1980",51.8,43.3,60.3,7.54
"March, 1980",38.8,30.8,46.7,8.78
"February, 1980",29.5,21.8,37.3,1.07
"January, 1980",31.7,24.9,38.5,1.72
"December, 1979",38.5,31.4,45.6,2.44
"November, 1979",48.8,41,56.5,3.18
"October, 1979",54,46,62.1,3.81
"September, 1979",67,58.5,75.4,5.06
"August, 1979",73.8,65.4,82.1,5.43
"July, 1979",75.5,66.8,84.3,1.9
"June, 1979",67.5,59,76,2.5
"May, 1979",62.2,54.2,70.2,5.52
"April, 1979",49.7,41.4,57.9,3.93
"March, 1979",44.4,35.6,53.1,4.14
"February, 1979",23.1,16.5,29.8,4.65
"January, 1979",31.7,24.6,38.7,9.52
"December, 1978",37.6,30.4,44.8,5.2
"November, 1978",46.6,39.4,53.8,2.49
"October, 1978",54.8,45.8,63.8,1.85
"September, 1978",64.7,55.4,74.1,3.36
"August, 1978",75.2,67.8,82.7,5.02
"July, 1978",73.6,65.3,81.8,3.99
"June, 1978",70,60.4,79.7,1.76
"May, 1978",58.9,50.3,67.5,7.63
"April, 1978",49.7,40.4,58.9,2.19
"March, 1978",38.4,30.9,45.9,3.1
"February, 1978",26,19.1,33,1.69
"January, 1978",28.1,21.3,34.9,7.99
"December, 1977",34.1,27.7,40.6,5.16
"November, 1977",46.5,40.6,52.4,8.73
"October, 1977",54.1,46.3,62,5.34
"September, 1977",67,59.4,74.5,5.74
"August, 1977",74.3,66,82.6,4.59
"July, 1977",76.6,67.4,85.8,1.99
"June, 1977",68.4,59.6,77.3,4.06
"May, 1977",63.2,52.4,73.9,1.97
"April, 1977",52,41.5,62.4,3.61
"March, 1977",45,36.6,53.5,6.42
"February, 1977",32.7,25.2,40.1,2.6
